Date,Experiment,Treatment,Sample,Gene,RQ
15-Jan,Glut_exp,Silenced,Glut-8,DWVa,73.62708282
16-Jan,Glut_exp,Silenced,Glut-8,ARV2,4.077533245
16-Jan,Glut_exp,Silenced,Glut-8,VDV2,1.320229053
15-Jan,Glut_exp,Silenced,Glut-9,DWVa,0.317421019
16-Jan,Glut_exp,Silenced,Glut-9,ARV2,1.877465963
16-Jan,Glut_exp,Silenced,Glut-9,VDV2,1.201220989
23-Jan,Gly_exp,Silenced,Gly-1,ARV2,1.480877161
23-Jan,Gly_exp,Silenced,Gly-1,DWVa,0.114252903
23-Jan,Gly_exp,Silenced,Gly-1,VDV2,0.784441769
23-Jan,Gly_exp,Silenced,Gly-10,ARV2,1.212089539
23-Jan,Gly_exp,Silenced,Gly-10,DWVa,0.697601676
23-Jan,Gly_exp,Silenced,Gly-10,VDV2,1.195677042
23-Jan,Gly_exp,Silenced,Gly-11,ARV2,1.771389604
23-Jan,Gly_exp,Silenced,Gly-11,DWVa,0.235517338
23-Jan,Gly_exp,Silenced,Gly-11,VDV2,0.533363879
23-Jan,Gly_exp,Silenced,Gly-12,ARV2,3.042986155
23-Jan,Gly_exp,Silenced,Gly-12,DWVa,0.489656508
23-Jan,Gly_exp,Silenced,Gly-12,VDV2,0.920465767
23-Jan,Gly_exp,Silenced,Gly-13,ARV2,1.802874327
23-Jan,Gly_exp,Silenced,Gly-13,DWVa,0.224910527
23-Jan,Gly_exp,Silenced,Gly-13,VDV2,0.539971173
23-Jan,Gly_exp,Silenced,Gly-14,ARV2,1.332272291
23-Jan,Gly_exp,Silenced,Gly-14,DWVa,0.327764243
23-Jan,Gly_exp,Silenced,Gly-14,VDV2,1.037131548
23-Jan,Gly_exp,Silenced,Gly-15,ARV2,2.583055496
23-Jan,Gly_exp,Silenced,Gly-15,DWVa,4.255532742
23-Jan,Gly_exp,Silenced,Gly-15,VDV2,1.281934142
23-Jan,Gly_exp,Silenced,Gly-2,ARV2,1.10385406
23-Jan,Gly_exp,Silenced,Gly-2,DWVa,0.045046441
23-Jan,Gly_exp,Silenced,Gly-2,VDV2,1.0612818
23-Jan,Gly_exp,Silenced,Gly-3,ARV2,1.172823668
23-Jan,Gly_exp,Silenced,Gly-3,DWVa,2.878063202
23-Jan,Gly_exp,Silenced,Gly-3,VDV2,0.619781494
23-Jan,Gly_exp,Silenced,Gly-4,ARV2,2.05290699
23-Jan,Gly_exp,Silenced,Gly-4,DWVa,10.25996876
23-Jan,Gly_exp,Silenced,Gly-4,VDV2,0.90477556
23-Jan,Gly_exp,Silenced,Gly-5,ARV2,5.673676491
23-Jan,Gly_exp,Silenced,Gly-5,DWVa,6.443202972
23-Jan,Gly_exp,Silenced,Gly-5,VDV2,1.062785625
23-Jan,Gly_exp,Silenced,Gly-6,ARV2,1.323980093
23-Jan,Gly_exp,Silenced,Gly-6,DWVa,0.990106583
23-Jan,Gly_exp,Silenced,Gly-6,VDV2,1.141723037
23-Jan,Gly_exp,Silenced,Gly-7,ARV2,0.958918333
23-Jan,Gly_exp,Silenced,Gly-7,DWVa,2.710344315
